OXYGEN,SILCAT,NO2+NO3,PHSPHT,Label
30.447,91.0267,40.78405,2.978,predicted
199.734,4.8187,4.73925,0.39445,predicted
-968.9955,1.3839,0.28425,0.09735,predicted
-378.325,155.266,38.6954,2.71625,predicted
27.319,156.17385,38.81805,2.7385,predicted
120.631,43.1574,27.31935,1.97785,predicted
171.0955,0.89265,0.0542,0.08895,predicted
192.489,5.9427,7.25,0.6153,predicted
122.841,159.1464,37.5659,2.6281,predicted
9.3175,98.8215,41.2308,3.011,predicted
72.2615,139.73895,40.48585,2.88175,predicted
203.735,10.67055,11.00645,0.78315,predicted
197.427,4.12615,3.7071,0.3278,predicted
-587.7605,1.06695,0.0214,0.10595,predicted
192.8675,1.60775,0.0115,0.1321,predicted
185.922,1.1722,0.04355,0.0513,predicted
112.1675,159.71305,37.66005,2.6619,predicted
29.7425,87.98935,40.60885,2.9669,predicted
30.614,1.51865,0.02785,0.07525,predicted
146.876,151.2692,36.07795,2.49775,predicted
35.316,97.7169,40.63365,2.9746,predicted
39.8885,79.7043,38.9005,2.86735,predicted
-39.3745,89.90435,41.27495,3.01215,predicted
188.5225,11.3398,12.35245,0.9029,predicted
26.261,86.1579,42.20545,2.5563,predicted
193.222,1.968,0.47645,0.09325,predicted
27.538,94.3941,41.34615,3.0261,predicted
205.5865,1.6368,0.1339,0.1155,predicted
149.56,150.14665,35.93765,2.49705,predicted
192.913,12.48355,12.45615,0.9232,predicted
225.5075,0.90245,0.0077,0.02825,predicted
149.4905,150.00655,35.7673,2.482,predicted
15.692,71.25195,36.378,2.66995,predicted
-69.2225,109.6912,41.1871,2.99465,predicted
96.168,154.14945,39.07835,2.7822,predicted
32.9905,88.91755,40.3996,2.93515,predicted
151.5375,148.53425,35.4614,2.4697,predicted
215.9105,1.6445,0.09025,0.065,predicted
192.238,1.74235,1.26585,0.1376,predicted
-21.635,150.485636667,35.8471,2.49785,predicted
116.266,159.9202,37.8923,2.6482,predicted
145.857,1.4423,0.01935,0.07275,predicted
103.8955,157.8388,38.80255,2.7335,predicted
112.93,45.90665,29.26135,2.11365,predicted
151.6255,150.44105,35.8467,2.481,predicted
207.4655,1.9627,0.53125,0.10595,predicted
70.23,137.79805,40.6564,2.9118,predicted
211.5095,2.1277,0.0045,0.07145,predicted
103.655,156.5275,38.6784,2.73855,predicted
123.807,158.4642,37.48225,2.61305,predicted
183.9225,6.6561,6.47485,0.5337,predicted
45.885,110.5627,41.3687,2.98145,predicted
143.8655,152.9634,36.25185,2.51005,predicted
162.721,28.20245,21.09768,1.533475,predicted
154.338,149.46555,35.56135,2.4607,predicted
-502.4365,1.23625,0.02865,0.08305,predicted
31.442,97.99455,41.84495,3.05121666667,predicted
193.9075,3.2959,3.2145,0.2866,predicted
118.2975,158.9217,37.9831,2.6518,predicted
82.8285,147.67115,40.0637,2.8443,predicted
204.3015,1.5415,0.49925,0.1225,predicted
145.534,149.5431,35.78555,2.47805,predicted
174.27,25.2771,19.6639,1.41175,predicted
207.138,8.9634,9.0616,0.6768,predicted
89.271,151.3571,39.4702,2.7571,predicted
126.6515,156.52895,36.83695,2.5959,predicted
190.2025,15.50035,14.40715,1.056,predicted
211.869,2.25115,0.3555,0.09565,predicted
195.5755,7.4121,7.53005,0.5784,predicted
30.9615,110.3383,41.5906,3.0291,predicted
126.3405,45.6462,28.63385,2.0432,predicted
145.1115,152.5977,36.01085,2.50845,predicted
81.985,147.3922,39.945,2.835,predicted
198.4755,2.40165,1.92385,0.1677,predicted
199.574,6.1825,6.6167,0.5061,predicted
204.197,1.72035,0.01285,0.0575,predicted
2.523,92.46565,40.86965,2.98015,predicted
212.0815,1.89985,0.33285,0.0984,predicted
165.15225,28.6286,21.3416,1.59745833333,predicted
181.218,20.5082,17.58655,1.2679,predicted
194.291,8.2504,8.7944,0.6709,predicted
146.1395,149.3325,35.70355,2.46275,predicted
88.214,155.21865,39.1721,2.75975,predicted
27.1641666667,94.8357,40.9594,3.00675,predicted
40.6485,104.559,41.2235,2.99485,predicted
38.588,74.53855,38.838,2.8688,predicted
-41.2475,111.16245,41.9868,3.0285,predicted
201.1925,3.3069,2.39335,0.24405,predicted
92.1885,55.231,32.10245,2.2916,predicted
181.9895,1.0926,0.0282,0.09345,predicted
113.6675,1.1651,0.009,0.0411,predicted
65.188,1.25745,0.3245,0.14065,predicted
128.276,157.8756,37.04,2.5829,predicted
115.7795,158.57835,37.0804,2.6037,predicted
34.6005,104.44265,41.8057,3.04105,predicted
47.996,79.4872,38.84135,2.8242,predicted
153.931,147.7992,35.637,2.29715,predicted
162.253,4.9348,4.7755,0.4172,predicted
46.565,79.3763,38.765,2.836,predicted
151.545,149.67715,35.6057,2.4815,predicted
151.5875,150.5718,35.52155,2.47955,predicted
192.483,9.1716,9.0899,0.7078,predicted
211.771,1.6776,0.00385,0.04505,predicted
135.138,156.506975,36.6616,2.5486,predicted
49.3615,63.2179,35.15175,2.58455,predicted
94.1585,154.98265,39.19445,2.7771,predicted
145.8265,148.8117,35.9107041667,2.4893,predicted
152.98,148.7369,35.45695,2.46325,predicted
38.864,103.5265,41.97,3.0649,predicted
203.491,1.97215,1.06935,0.1526,predicted
93.6175,55.4774,32.52375,2.33505,predicted
182.083,22.9417,18.69745,1.33445,predicted
50.4656666667,119.15285,41.278,2.9578,predicted
124.3615,159.16605,37.34805,2.6215,predicted
11.659,1.14835,0.0016,0.0728,predicted
38.1985,99.782,41.4052,3.00205,predicted
131.4285,156.341733333,36.7857,2.589,predicted
59.6645,129.1973,41.129,2.9548,predicted
41.7175,107.55455,40.8983,2.96265,predicted
206.818,1.754,0.1042,0.07885,predicted
-2.2265,113.55925,41.34525,3.0194,predicted
34.6275,103.0984,41.10455,2.98875,predicted
134.448,148.70825,35.689,2.47655,predicted
200.842,1.46205,0.00305,0.0792,predicted
151.37,149.6782,35.8234,2.4895,predicted
71.1725,64.89345,35.1035,2.5736,predicted
26.834,93.67625,41.13385,3.00215,predicted
-805.6695,1.4901,0.06875,0.09035,predicted
203.7385,1.14135,0.05025,0.04365,predicted
116.392,159.23075,37.80365,2.62025,predicted
134.48475,156.667166667,36.76398,2.56477166667,predicted
39.9105,107.8721,40.81205,2.9532,predicted
112.791,159.6311,38.2083,2.64215,predicted
120.4215,43.7129,28.37025,2.0681,predicted
211.017,1.0816,0.09455,0.08145,predicted
154.1835,31.2128,22.6473,1.601875,predicted
1.2695,135.92355,41.15585,2.9089,predicted
135.0715,1.5222,0.03645,0.09695,predicted
103.963,156.05955,38.8126,2.669,predicted
23.297,101.94885,41.65455,3.01675,predicted
147.014,151.22375,35.57235,2.4738,predicted
32.8275,107.6851,41.61885,3.0092,predicted
196.107666667,11.08105,11.2381,0.8572,predicted
123.238,1.1232,0.00885,0.08455,predicted
189.972,15.04985,14.2888,1.04155,predicted
132.0545,33.67945,23.87815,1.73535,predicted
105.105,41.297875,27.249,1.93635,predicted
-48.8275,1.14965,0.0182,0.10385,predicted
201.17,4.9466,5.0658,0.4237,predicted
186.6595,17.5431,15.81065,1.13055,predicted
96.0085,42.4757,28.14035,2.1015,predicted
207.724,1.3176,0.01145,0.0692,predicted
-988.6935,88.1703,40.37315,2.98545,predicted
97.1655,52.8169,30.78995,2.2303,predicted
151.3525,148.93295,35.70765,2.4829,predicted
28.92425,96.53095,41.4341,3.04193333333,predicted
30.7645,89.0945,40.0685,2.9075,predicted
198.6205,3.2326,2.4928,0.2532,predicted
71.7285,137.66245,40.55755,2.9,predicted
115.2155,48.7814,29.10175,2.06815,predicted
47.4755,120.9213,41.5003866667,2.9823,predicted
209.51,1.4228,0.004,0.1024,predicted
206.628125,1.50755,0.00125,0.0902,predicted
185.0045,19.123,16.50435,1.22495,predicted
143.5095,150.2333,36.004,2.49165,predicted
32.094,87.88055,41.82735,3.03435,predicted
210.0185,1.56325,0.43015,0.10205,predicted
150.1265,149.82485,35.7466,2.4954,predicted
205.169,1.50645,0.31385,0.10015,predicted
200.3845,2.23805,0.53035,0.1026,predicted
153.89725,1.67915,0.0493,0.0982,predicted
34.5895,108.52895,41.19315,3.01465,predicted
151.7845,149.40605,35.4522,2.46255,predicted
121.565,158.8763,37.45045,2.61565,predicted
147.5255,151.7537,35.78475,2.49605,predicted
34.521,89.78805,42.17495,3.00045,predicted
180.7545,12.70045,13.10635,1.0215,predicted
42.612,86.13445,39.92615,2.939,predicted
151.5685,148.7034,35.6604,2.48035,predicted
105.833,157.4233,38.42885,2.7167,predicted
214.370125,1.20498333333,0.04305,0.07895,predicted
196.8855,10.76145,10.5728,0.77335,predicted
84.9075,148.1397,39.8803,2.78865,predicted
193.8545,11.1027,11.75205,0.86635,predicted
214.1015,1.4985,0.02365,0.11615,predicted
202.193,9.5884,9.77575,0.71765,predicted
140.7795,154.9111,36.4158,2.54825,predicted
206.9675,1.65185,0.00885,0.0194,predicted
191.6675,1.5696,0.01235,0.0888,predicted
203.8715,13.69485,12.37865,0.85485,predicted
181.69725,1.1959,0.0022,0.0797,predicted
189.721,11.51235,10.773,0.7943,predicted
216.2265,1.25735,0.05645,0.0182,predicted
113.835,160.1596,38.179,2.68345,predicted
-27.4575,113.6453,41.3417,2.98025,predicted
112.6585,1.1434,0.03525,0.0921,predicted
170.287,2.03325,0.53415,0.1252,predicted
211.489,1.50445,0.00345,0.0944,predicted
154.837333333,147.3777,35.2436,2.44615,predicted
31.1741666667,83.4659,39.9788,2.946,predicted
23.02225,104.35445,42.04365,3.03425,predicted
137.0105,155.63185,36.6525,2.5348,predicted
28.001,82.9881,41.10065,3.0032,predicted
151.1095,150.07335,35.9317,2.48885,predicted
209.921,1.4413,0.01215,0.0877,predicted
54.901,123.26685,41.11355,2.95595,predicted
60.3065,128.9677,40.7755,2.95475,predicted
186.7335,16.44075,15.2747,1.0813,predicted
214.525,1.40995,0.0492,0.09435,predicted
88.763,149.4618,39.5653,2.79765,predicted
113.6145,158.0596,37.33085,2.51605,predicted
52.4675,120.94865,41.5118,2.98225,predicted
23.0895,129.8401,41.1972,2.97795,predicted
44.6125,61.05795,35.19515,2.6145,predicted
83.1625,51.1861,31.22925,2.2531,predicted
214.974125,1.68595,0.0065,0.08395,predicted
86.889,152.4331,39.7775,2.83725,predicted
201.529,12.60515,12.633,0.92995,predicted
109.9125,157.5476,38.3651,2.70205,predicted
107.113,39.45895,26.74585,1.9112,predicted
31.534,93.26245,40.7809,2.9766,predicted
199.1575,1.04095,0.01505,0.05155,predicted
27.91,95.68175,41.05005,2.98055,predicted
136.4905,156.2191,36.6752,2.57515,predicted
102.6365,160.24605,38.8017,2.74505,predicted
151.2835,149.54585,35.48055,2.4639,predicted
187.4515,16.96125,14.836,1.0521,predicted
189.637,1.9225,0.86015,0.1815,predicted
53.1875,122.2521,41.18755,2.9507,predicted
71.6495,139.31155,40.50495,2.88595,predicted
18.7205,96.30675,41.5035,3.05875,predicted
102.7155,156.30265,38.56915,2.7381,predicted
200.4155,1.140425,0.31885,0.11865,predicted
195.0635,1.71485,0.0899,0.10865,predicted
86.163,151.74705,40.07375,2.8379,predicted
72.006,65.07775,35.4613,2.49605,predicted
157.602,32.5331,23.5309,1.6392,predicted
-146.0425,0.99525,0.01915,0.04285,predicted
108.6975,44.81505,28.70385,2.08215,predicted
110.1795,158.05385,38.24405,2.71415,predicted
78.0505,143.7635,40.27545,2.8542,predicted
-43.4655,136.85335,40.9699,2.92275,predicted
200.7715,6.71255,6.78235,0.5394,predicted
117.258,159.1199,37.76715,2.64915,predicted
212.3515,2.17685,0.06065,0.07965,predicted
63.299,45.62965,28.2241,2.02505,predicted
85.6375,52.4571,31.7462,2.3177,predicted
170.8805,1.8544,1.1289,0.1258,predicted
144.8395,152.30305,36.074,2.5128,predicted
103.8515,157.0483,38.90925,2.7345,predicted
88.0695,44.02695,28.69095,2.0535,predicted
14.6095,110.748,41.8086,3.02515,predicted
58.73,72.74625,36.8875,2.64905,predicted
44.6051666667,91.96625,41.20125,3.01905,predicted
-15.1875,104.18965,36.3917,2.5532,predicted
151.622,149.66045,35.7139,2.4822,predicted
-24.4159166667,110.736678333,41.49745,3.00175,predicted
111.086,158.37355,38.4611,2.71635,predicted
-192.332,109.8346,40.9335,3.0233,predicted
151.518,149.1207,35.5922,2.49005,predicted
195.99,1.01405,0.03425,0.01425,predicted
198.1385,1.73765,1.04315,0.1531,predicted
203.953,2.3652,1.319,0.1478,predicted
95.4525,154.52025,38.993,2.7402,predicted
85.6615,1.4953,0.0144,0.1205,predicted
28.9905,81.98355,39.4673,2.89845,predicted
112.658,156.81225,38.3654958333,2.69855,predicted
133.637,1.49235,0.0176,0.0604,predicted
51.6415,70.9372,36.74815,2.70125,predicted
33.1815,111.25425,41.47145,3.008,predicted
26.8165,66.90795,35.7136,2.52285,predicted
127.7935,158.5427,37.5451,2.6571,predicted
70.0385,138.5652,40.77735,2.88865,predicted
198.6325,7.7548,8.1517,0.62165,predicted
90.072,52.4487,32.01355,2.3322,predicted
191.787,3.1964,2.97545,0.2532,predicted
151.23,149.95255,35.8538,2.4901,predicted
149.7685,149.69835,35.64375,2.4887,predicted
185.245,16.67275,15.4543,1.09525,predicted
202.6875,1.72725,0.58735,0.10245,predicted
206.237,1.70345,0.0133,0.0711,predicted
38.9175,116.07415,41.64325,2.96825,predicted
216.5875,1.45045,0.00915,0.124,predicted
38.0165,105.2236,41.5862,3.0169,predicted
210.0695,1.5631,0.02,0.06405,predicted
136.247,156.2882,36.5741,2.5503,predicted
109.926,157.49055,38.28625,2.71015,predicted
25.8425,98.33365,41.187,2.9732,predicted
5.271,84.17255,39.998,2.9518,predicted
40.0865,109.225,41.39785,2.99345,predicted
170.5235,2.987,2.97295,0.2791,predicted
31.588,99.42885,42.107,3.03705,predicted
184.5585,5.5623,5.42355,0.42615,predicted
207.3655,0.7957,0.0411,0.00945,predicted
206.427,1.44545,0.02565,0.0997,predicted
